date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:40	71968/71968	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2007:09:42%20GMT	https://www.w3schools.com/cs/cs_intro.php	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/cs/cs_intro.html	(from )
09:40:42	126/126	---M--	200	added ('OK')	text/plain	etag:%2207fa8cf46e8d71:0%22	https://www.w3schools.com/robots.txt		(from )
09:40:43	57536/57536	---M-Z	200	added ('OK')	text/css	etag:%2207fa8cf46e8d71:0%22	https://www.w3schools.com/lib/w3schools30.css	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/lib/w3schools30.css	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:44	48150/48150	---M-Z	200	added ('OK')	application/javascript	etag:%2207fa8cf46e8d71:0%22	https://www.w3schools.com/lib/prism2.js	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/lib/prism2.js	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:46	6269/6269	---M-Z	200	added ('OK')	text/css	etag:%2207fa8cf46e8d71:0%22	https://www.w3schools.com/lib/prism1.css	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/lib/prism1.css	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:47	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/CSHARP/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:49	14156/14156	---MCZ	200	added ('OK')	application/javascript	etag:W/%22374c-5d21e91f5fe58%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	C:/My%20Web%20Sites/CSHARP/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:49	6495/6495	---M--	200	added ('OK')	application/javascript	etag:%2207fa8cf46e8d71:0%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.2	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/lib/my-learning0ff5.js	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:51	79860/79860	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2006:16:09%20GMT	https://www.w3schools.com/cs/index.php	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/cs/index.html	(from https://www.w3schools.com/cs/cs_intro.php)
09:40:53	81027/81027	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Dec%202021%2007:40:52%20GMT	https://www.w3schools.com/cs/cs_exercises.asp	C:/My%20Web%20Sites/CSHARP/www.w3schools.com/cs/cs_exercises.8.delayed	(from https://www.w3schools.com/cs/cs_intro.php)
